MCC,MNC,Brand,Operator,Status,Bands (MHz),References and notes,Country,Iso
312,870,,"GigSky Mobile, LLC",Operational,MVNO,,United States,us
312,880,,Albemarle County Public Schools,Unknown,Unknown,,United States,us
312,890,,Circle Gx,Unknown,Unknown,,United States,us
312,900,ClearTalk,"Flat West Wireless, LLC",Operational,CDMA / LTE 1900 / LTE 1700,"Arizona, California ",United States,us
312,910,Appalachian Wireless,"East Kentucky Network, LLC",Unknown,Unknown,,United States,us
312,920,,Northeast Wireless Networks LLC,Unknown,Unknown,,United States,us
312,930,,"Hewlett-Packard Communication Services, LLC",Unknown,Unknown,,United States,us
312,940,,Webformix,Operational,Unknown,Oregon,United States,us
312,950,,Custer Telephone Co-op (CTCI),Operational,CDMA,Idaho,United States,us
312,960,,"M&A Technology, Inc.",Unknown,Unknown,,United States,us
312,970,,IOSAZ Intellectual Property LLC,Unknown,Unknown,,United States,us
312,980,,Mark Twain Communications Company,Unknown,Unknown,,United States,us
312,990,Premier Broadband,Premier Holdings LLC,Unknown,Unknown,,United States,us
313,000,,Tennessee Wireless,Operational,Unknown,,United States,us
313,010,Bravado Wireless,Cross Wireless LLC,Unknown,Unknown,Former Sprocket Wireless,United States,us
313,020,CTC Wireless,Cambridge Telephone Company Inc.,Operational,CDMA,Idaho,United States,us
313,030,Snake River PCS,Eagle Telephone System Inc.,Operational,CDMA,Oregon,United States,us
313,040,NNTC Wireless,Nucla-Naturita Telephone Company,Operational,CDMA,Colorado,United States,us
313,050,Breakaway Wireless,"Manti Tele Communications Company, Inc.",Not operational,CDMA,Utah; shut down 2018,United States,us
313,060,,Country Wireless,Operational,Unknown,Wisconsin,United States,us
313,061,,Country Wireless,Unknown,Unknown,,United States,us
313,070,,Midwest Network Solutions Hub LLC,Unknown,Unknown,,United States,us
313,080,,Speedwavz LLP,Operational,Unknown,Ohio,United States,us
313,090,,"Vivint Wireless, Inc.",Operational,Unknown,,United States,us
313,100,FirstNet,AT&T FirstNet,Operational,LTE 700,D Block,United States,us
313,110,FirstNet,AT&T FirstNet,Unknown,LTE,D Block,United States,us
313,120,FirstNet,AT&T FirstNet,Unknown,LTE,D Block,United States,us
313,130,FirstNet,AT&T FirstNet,Unknown,LTE,D Block,United States,us
313,140,FirstNet,AT&T FirstNet,Unknown,LTE,D Block,United States,us
313,150,FirstNet,700 MHz Public Safety Broadband,Unknown,LTE,D Block for future use,United States,us
313,160,FirstNet,700 MHz Public Safety Broadband,Unknown,LTE,D Block for future use,United States,us
313,170,FirstNet,700 MHz Public Safety Broadband,Unknown,LTE,D Block for future use,United States,us
313,180,FirstNet,700 MHz Public Safety Broadband,Unknown,LTE,D Block for future use,United States,us
313,190,FirstNet,700 MHz Public Safety Broadband,Unknown,LTE,D Block for future use,United States,us
313,200,,Mercury Network Corporation,Operational,Unknown,Michigan,United States,us
313,210,AT&T,AT&T Mobility,Unknown,Unknown,,United States,us
313,220,,Custer Telephone Co-op (CTCI),Unknown,Unknown,,United States,us
313,230,,Velocity Communications Inc.,Unknown,LTE,Montana,United States,us
313,240,Peak Internet,"Fundamental Holdings, Corp.",Unknown,Unknown,Colorado,United States,us
313,250,,Imperial County Office of Education,Unknown,LTE,California,United States,us
313,260,,Expeto Wireless Inc.,Operational,MVNO,,United States,us
313,270,,Blackstar Management,Not operational,Unknown, MNC withdrawn,United States,us
313,280,,"King Street Wireless, LP",Unknown,LTE 700,Fixed wireless; mobile service through U.S. Cellular,United States,us
313,290,,Gulf Coast Broadband LLC,Unknown,LTE,Fixed wireless; Louisiana,United States,us
313,300,,"Cambio WiFi of Delmarva, LLC",Operational,LTE,Maryland,United States,us
313,310,,"CAL.NET, Inc.",Unknown,Unknown,,United States,us
313,320,,Paladin Wireless,Unknown,LTE 3500,Fixed wireless; Georgia,United States,us
313,330,,CenturyTel Broadband Services LLC,Unknown,Unknown,,United States,us
313,340,Dish,Dish Wireless,Operational,5G 600 / 5G 1700,,United States,us
313,350,Dish,Dish Wireless,Not operational,Unknown,,United States,us
313,360,Dish,Dish Wireless,Not operational,Unknown,,United States,us
313,370,,"Red Truck Wireless, LLC",Unknown,Unknown,Fixed wireless,United States,us
313,380,,OptimERA Inc.,Unknown,Unknown,,United States,us
313,390,,"Altice USA Wireless, Inc.",Unknown,MVNO,,United States,us
313,400,,"Texoma Communications, LLC",Unknown,Unknown,,United States,us
313,410,,pdvWireless,Unknown,Unknown,,United States,us
313,420,,Hudson Valley Wireless,Unknown,LTE 3500,CBRS fixed wireless; New York,United States,us
313,440,,"Arvig Enterprises, Inc.",Unknown,Unknown,Minnesota,United States,us
313,450,,"Spectrum Wireless Holdings, LLC",Unknown,Unknown,,United States,us
313,460,,"Mobi, Inc.",Operational,MVNO,Hawaii; CDMA / LTE network sold to Verizon in 2014,United States,us
313,470,,San Diego Gas & Electric Company,Unknown,Unknown,,United States,us
313,480,,"Ready Wireless, LLC",Unknown,MVNO,,United States,us
313,490,,"Puloli, Inc.",Unknown,Unknown,,United States,us
313,500,,"Shelcomm, Inc.",Unknown,Unknown,,United States,us
313,510,Claro,Puerto Rico Telecom Company,Operational,Unknown,,United States,us
313,520,,"Florida Broadband, Inc.",Operational,Unknown,Fixed wireless; Florida,United States,us
313,540,,Nokia Innovations US LLC,Unknown,Unknown,,United States,us
313,550,,Mile High Networks LLC,Operational,Unknown,Fixed wireless; Arizona,United States,us
313,560,,Transit Wireless LLC,Operational,Unknown,Network for MTA / NYCTA,United States,us
313,570,Pioneer Cellular,Cellular Network Partnership,Unknown,Unknown,,United States,us
313,580,,Telecall Telecommunications Corp.,Unknown,Unknown,,United States,us
313,590,Southern LINC,"Southern Communications Services, Inc.",Unknown,Unknown,,United States,us
313,600,,ST Engineering iDirect,Unknown,Unknown,,United States,us
313,610,,"Crystal Automation Systems, Inc.",Unknown,Unknown,,United States,us
313,620,,"Screened Images, Inc.",Unknown,Unknown 1700,,United States,us
313,630,,LICT Corporation,Unknown,Unknown,,United States,us
313,640,,Geoverse LLC,Unknown,LTE 3500,private networks,United States,us
313,650,,"Chevron USA, Inc.",Unknown,Unknown,,United States,us
313,660,,Hudson Valley Wireless,Unknown,LTE 3500,CBRS fixed wireless; New York,United States,us
313,670,,Hudson Valley Wireless,Unknown,LTE 3500,CBRS fixed wireless; New York,United States,us
313,680,,Hudson Valley Wireless,Unknown,LTE 3500,CBRS fixed wireless; New York,United States,us
313,690,,"Shenandoah Cable Television, LLC",Operational,LTE,,United States,us
313,700,,Ameren Services Company,Unknown,800,,United States,us
313,710,,Extent Systems,Unknown,Unknown,,United States,us
313,720,,"1st Point Communications, LLC",Unknown,Unknown,,United States,us
313,730,,TruAccess Networks,Unknown,Unknown,,United States,us
313,740,,"RTO Wireless, LLC",Unknown,Unknown,,United States,us
313,750,ZipLink,"CellTex Networks, LLC",Unknown,Unknown,,United States,us
313,760,,"Hologram, Inc.",Operational,MVNO,,United States,us
313,770,,Tango Networks,Unknown,MVNO,,United States,us
313,780,,Windstream Holdings,Unknown,Unknown,,United States,us
313,790,Liberty,Liberty Cablevision of Puerto Rico LLC,Operational,UMTS 850 / UMTS 1900 / LTE 700 / LTE 850 / LTE 1700 / LTE 1900 / LTE 2300 / 5G 850,Puerto Rico,United States,us
313,800,,Wireless Technologies of Nebraska,Operational,Unknown,"Nebraska, Iowa",United States,us
313,810,,Watch Communications,Operational,Unknown,"Illinois, Indiana, Kentucky & Ohio",United States,us
313,820,,Inland Cellular Telephone Company,Operational,LTE,Washington,United States,us
313,830,,360 Communications,Unknown,Unknown,,United States,us
313,840,,CellBlox Acqusitions,Unknown,Unknown,,United States,us
313,850,,"Softcom Internet Communications, Inc",Operational,LTE,California,United States,us
313,860,Nextlink,AMG Technology Investment Group,Operational,Unknown,,United States,us
313,870,,ElektraFi LLC,Operational,5G 3500,Texas,United States,us
313,880,,Shuttle wireless,Unknown,Unknown,,United States,us
313,890,TCOE,Tulare County Office of Education,Operational,Unknown,California,United States,us
313,900,,Tribal Networks,Unknown,Unknown,,United States,us
313,910,,San Diego Gas & Electric,Unknown,Unknown,,United States,us
313,920,,JCI,Unknown,Unknown,,United States,us
313,930,Rock Wireless,Standing Rock Telecom,Operational,LTE 2500,North Dakota,United States,us
313,940,,Motorola Solutions,Unknown,Unknown,,United States,us
313,950,,Cheyenne and Arapaho Development Group,Unknown,2500,,United States,us
313,960,,"Townes 5G, LLC",Unknown,Unknown,,United States,us
313,970,,Tycrhron,Unknown,Unknown,,United States,us
313,980,,Next Generation Application LLC,Unknown,Unknown,,United States,us
313,990,,Ericsson US,Unknown,Unknown,EEC/ATL Private Networks,United States,us
314,010,,Boingo Wireless Inc.,Unknown,Unknown,,United States,us
314,020,,"Spectrum Wireless Holdings, LLC",Unknown,Unknown,,United States,us
314,030,,Baicells Technologies North America Inc.,Unknown,LTE,,United States,us
314,100 - 190,,Reserved for Public Safety,Unknown,Unknown,,United States,us
315,010,CBRS,Citizens Broadband Radio Service,Unknown,TD-LTE 3500,LTE band 48,United States,us
316,010,Nextel,Nextel Communications,Not operational,iDEN 800,Merged with Sprint forming Sprint Nextel; iDEN network shut down June 2013,United States,us
316,011,Southern LINC,Southern Communications Services,Not operational,iDEN 800, shut down 2019,United States,us
310,120,Sprint,Sprint Corporation,Operational,CDMA2000 1900 / LTE 850 / LTE 1900,,United States,us
310,260,T-Mobile,T-Mobile US,Operational,GSM 1900 / UMTS 1900 / UMTS 1700 / LTE 850 / LTE 700 / LTE 1900 / LTE 1700 / 5G 600,"Former Cook Inlet West Wireless, Voicestream; now universal USA code. Also used for Ting.",United States,us
310,410,AT&T,Liberty,Operational,GSM 850 / GSM 1900 / UMTS 850 / UMTS 1900,Formerly AT&T Mobility; Formerly Cingular Wireless,United States,us
311,470,Viya,Vitelcom Cellular Inc.,Operational,GSM 850 / GSM 1900 / TD-LTE 2500,Former Innovative Wireless; US Virgin Islands,United States,us
412,01,AWCC,Afghan Wireless Communication Company,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Afghanistan,af
412,20,Roshan,Telecom Development Company Afghanistan Ltd.,Operational,GSM 900 / UMTS 2100,,Afghanistan,af
412,40,MTN,MTN Group Afghanistan,Operational,GSM 900 / GSM 1800 / UMTS 2100,,Afghanistan,af
412,50,Etisalat,Etisalat Afghanistan,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Afghanistan,af
412,55,WASEL,WASEL Afghanistan,Operational,CDMA 800,,Afghanistan,af
412,80,Salaam,Afghan Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Afghanistan,af
412,88,Salaam,Afghan Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Afghanistan,af
400,01,Azercell,,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Azerbaijan,az
400,02,Bakcell,,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800,,Azerbaijan,az
400,03,FONEX,CATEL,Operational,CDMA 450,,Azerbaijan,az
400,04,Nar Mobile,Azerfon,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Azerbaijan,az
400,05,,Special State Protection Service of the Republic of Azerbaijan,Unknown,TETRA?,,Azerbaijan,az
400,06,Naxtel,Nakhtel LLC,Operational,CDMA 800 / LTE 800 / LTE 900 / LTE 1800,,Azerbaijan,az
426,01,Batelco,Bahrain Telecommunications Company,Operational,UMTS 2100 / LTE 1800 / 5G 3500, GSM shut down Dec 2019,Bahrain,bh
426,02,zain BH,Zain Bahrain,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / 5G 3500,,Bahrain,bh
426,03,,Civil Aviation Authority,Unknown,Unknown,,Bahrain,bh
426,04,STC,STC Bahrain,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / 5G 3500,Former VIVA,Bahrain,bh
426,05,Batelco,Bahrain Telecommunications Company,Operational,GSM 900 / GSM 1800,Royal Court use only,Bahrain,bh
470,01,Grameenphone,Grameenphone Ltd.,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Bangladesh,bd
470,02,Robi,Axiata Bangladesh Ltd.,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100,Formerly Aktel,Bangladesh,bd
470,03,Banglalink,Banglalink Digital Communications Ltd.,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,VEON,Bangladesh,bd
470,04,TeleTalk,Teletalk Bangladesh Limited,Operational,GSM 900 / UMTS 2100 / LTE 1800,,Bangladesh,bd
470,05,Citycell,Pacific Bangladesh Telecom Limited,Not Operational,CDMA 800,Shutdown by Bangladesh Telecommunication Regulatory Commission in 2016,Bangladesh,bd
470,07,Airtel,Bharti Airtel Bangladesh Ltd.,Operational,GSM 900 / GSM 1800 / UMTS 2100,"Formerly Warid Telcom, later Airtel. Currently merged with Robi keeping brand name Airtel",Bangladesh,bd
470,09,ollo,Bangladesh Internet Exchange Limited (BIEL),Not operational,LTE 800 / LTE 2600 / WiMAX 3500, shut down 2019,Bangladesh,bd
470,10,Banglalion,Banglalion Communications Ltd.,Operational,TD-LTE 2600 / WiMAX 3500,,Bangladesh,bd
402,11,B-Mobile,Bhutan Telecom Limited,Operational,GSM 900 / UMTS 850 / UMTS 2100 / LTE 1800,,Bhutan,bt
402,17,B-Mobile,Bhutan Telecom Limited,Unknown,Unknown,,Bhutan,bt
402,77,TashiCell,Tashi InfoComm Limited,Operational,GSM 900 / GSM 1800 / UMTS 850 / LTE 700,LTE band 28,Bhutan,bt
456,01,Cellcard,CamGSM / The Royal Group,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Mobitel,Cambodia,kh
456,02,Smart,Smart Axiata Co. Ltd,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2100,,Cambodia,kh
456,03,qb,Cambodia Advance Communications Co. Ltd,Not Operational,GSM 1800 / UMTS 2100,aka CADCOMMS,Cambodia,kh
456,04,qb,Cambodia Advance Communications Co. Ltd,Not Operational,GSM 1800 / UMTS 2100,aka CADCOMMS,Cambodia,kh
456,05,Smart,Smart Axiata Co. Ltd,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2100,,Cambodia,kh
456,06,Smart,Smart Axiata Co. Ltd,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2100,,Cambodia,kh
456,08,Metfone,Viettel,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,,Cambodia,kh
456,09,Metfone,Viettel,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Beeline,Cambodia,kh
456,11,SEATEL,SEATEL Cambodia,Operational,LTE 850 / LTE 2600,Former Excell CDMA shut down 27 June 2015,Cambodia,kh
456,18,Cellcard,The Royal Group,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Mfone,Cambodia,kh
460,00,China Mobile,China Mobile,Operational,GSM 900 / GSM 1800 / TD-SCDMA 1900 / TD-SCDMA 2000 / TD-LTE 1900 / TD-LTE 2300 / TD-LTE 2500 / 5G 2500,,China,cn
460,01,China Unicom,China Unicom,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2100 / TD-LTE 2300 / TD-LTE 2500 / 5G 2100 / 5G 3500,CDMA network sold to China Telecom,China,cn
460,02,China Mobile,China Mobile,Not operational,GSM 900 / GSM 1800 / TD-SCDMA 1900 / TD-SCDMA 2000 / TD-LTE 1900 / TD-LTE 2300 / TD-LTE 2500,,China,cn
460,03,China Telecom,China Telecom,Operational,CDMA2000 800,EV-DO,China,cn
460,04,China Mobile,Global Star Satellite,Unknown,Unknown,,China,cn
460,05,China Telecom,China Telecom,Not operational,CDMA2000 800 / LTE 850 / LTE 1800 / LTE 2100 / TD-LTE 2300 / TD-LTE 2500,,China,cn
460,06,China Unicom,China Unicom,Not operational,GSM 900 / GSM 1800 / UMTS 2100,,China,cn
460,07,China Mobile,China Mobile,Not operational,GSM 900 / GSM 1800 / TD-SCDMA 1900 / TD-SCDMA 2000 / TD-LTE 1900 / TD-LTE 2300 / TD-LTE 2500,,China,cn
460,08,China Mobile,China Mobile,Unknown,Unknown,,China,cn
460,09,China Unicom,China Unicom,Operational,Unknown,,China,cn
460,11,China Telecom,China Telecom,Operational,LTE 850 / LTE 1800 / LTE 2100 / TD-LTE 2300 / TD-LTE 2500 / 5G 3500,,China,cn
460,20,China Tietong,China Tietong,Operational,GSM-R,,China,cn
454,00,1O1O / One2Free / New World Mobility / SUNMobile,CSL Limited,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2600,,"Hongkong, China",hk
454,01,,CITIC Telecom 1616,Operational,MVNO,MVNO on CSL network; network code operational only at land borders and Airport to attract inbound roamers to join 454-00,"Hongkong, China",hk
454,02,,CSL Limited,Operational,GSM 900 / GSM 1800,Network code operational only at land borders and Airport to attract inbound roamers to join 454-00,"Hongkong, China",hk
454,03,3,Hutchison Telecom,Operational,UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300 / LTE 2600 / 5G 3500,,"Hongkong, China",hk
454,04,3 (2G),Hutchison Telecom,Operational,GSM 900 / GSM 1800,,"Hongkong, China",hk
454,05,3 (CDMA),Hutchison Telecom,Not operational,CDMA 800,"Defunct CDMA IS-95 network, decommissioned on 19 November 2008 at 23:59","Hongkong, China",hk
454,06,SmarTone,SmarTone Mobile Communications Limited,Operational,GSM 900 / GSM 1800 / UMTS 850 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,,"Hongkong, China",hk
454,07,China Unicom,China Unicom (Hong Kong) Limited,Operational,MVNO,MVNO on 3 Hong Kong Mobile network code operational only at land borders and Airport to attract inbound roamers to join 454-16 or 454-19,"Hongkong, China",hk
454,08,Truphone,Truphone Limited,Operational,MVNO,Former Trident,"Hongkong, China",hk
454,09,,China Motion Telecom,Not operational,MVNO,MVNO on CSL network; MNC withdrawn,"Hongkong, China",hk
454,10,New World Mobility,CSL Limited,Not operational,GSM 1800,Signal Combined with 454-00,"Hongkong, China",hk
454,11,,China-Hong Kong Telecom,Operational,MVNO,MVNO on PCCW Mobile and Hutchison Telecom networks,"Hongkong, China",hk
454,12,CMCC HK,China Mobile Hong Kong Company Limited,Operational,GSM 1800 / UMTS 2100 / TD-SCDMA 2000 / LTE 900 /LTE 1800 / LTE 2100 / TD-LTE 2300 / LTE 2600 / 5G 3500,Formerly Peoples,"Hongkong, China",hk
454,13,CMCC HK,China Mobile Hong Kong Company Limited,Operational,MVNO,MVNO on PCCW Mobile (3G),"Hongkong, China",hk
454,14,,Hutchison Telecom,Operational,GSM 900 / GSM 1800,Network code operational only at land borders and Airport to attract inbound roamers to join 454-03 or 454-04,"Hongkong, China",hk
454,15,,SmarTone Mobile Communications Limited,Operational,GSM 1800,Network code operational only at land borders and Airport to attract inbound roamers to join 454-06,"Hongkong, China",hk
454,16,PCCW Mobile (2G),PCCW,Operational,GSM 1800,Formerly SUNDAY,"Hongkong, China",hk
454,17,,SmarTone Mobile Communications Limited,Operational,GSM 1800,Network code operational only at land borders and Airport to attract inbound roamers to join 454-06,"Hongkong, China",hk
454,18,,CSL Limited,Not operational,GSM 900 / GSM 1800,,"Hongkong, China",hk
454,19,PCCW Mobile (3G),PCCW-HKT,Operational,UMTS 2100,,"Hongkong, China",hk
454,20,PCCW Mobile (4G),PCCW-HKT,Operational,LTE 1800 / LTE 2600 / 5G 3500,,"Hongkong, China",hk
454,21,,21Vianet Mobile Ltd.,Not operational,MVNO,Closed on 1 February 2019 ,"Hongkong, China",hk
454,22,,263 Mobile Communications (HongKong) Limited,Operational,MVNO,"Formerly P Plus Communications, Delcom (HK) Ltd","Hongkong, China",hk
454,23,Lycamobile,Lycamobile Hong Kong Ltd,Not operational,MVNO, Closed on 27 April 2018; MNC withdrawn,"Hongkong, China",hk
454,24,,Multibyte Info Technology Ltd,Operational,MVNO,,"Hongkong, China",hk
454,25,,Hong Kong Government,Unknown,Unknown,,"Hongkong, China",hk
454,26,,Hong Kong Government,Unknown,Unknown,,"Hongkong, China",hk
454,29,PCCW Mobile (CDMA),PCCW-HKT,Operational,CDMA 800,"CDMA2000 1xEV-DO Rev A network for inbound roamers, with limited coverage","Hongkong, China",hk
454,30,CMCC HK,China Mobile Hong Kong Company Limited,Unknown,Unknown,Former China Data Enterprises Ltd,"Hongkong, China",hk
454,31,CTExcel,China Telecom Global Limited,Operational,MVNO,,"Hongkong, China",hk
454,32,,Hong Kong Broadband Network Ltd,Operational,MVNO,,"Hongkong, China",hk
454,35,,Webbing Hong Kong Ltd,Operational,MVNO,,"Hongkong, China",hk
454,36,,Easco Telecommunications Limited,Unknown,Unknown,,"Hongkong, China",hk
404,01,Vi India,Haryana,Operational,GSM 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former Vodafone India,India,in
404,02,AirTel,Punjab,Operational,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,,India,in
404,03,AirTel,Himachal Pradesh,Operational,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,,India,in
404,04,Vi India,Delhi & NCR,Not Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former IDEA,India,in
404,05,Vi India,Gujarat,Operational,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500," Former Hutch, Fascel, Vodafone India",India,in
404,07,Vi India,Andhra Pradesh and Telangana,Operational,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former IDEA,India,in
404,09,Reliance,Assam,Operational,LTE,Data-only as of 2020,India,in
404,10,AirTel,Delhi & NCR,Operational,GSM 900 / GSM 1800 / LTE 850 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,,India,in
404,11,Vi India,Delhi & NCR,Operational,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former Vodafone India,India,in
404,12,Vi India,Haryana,Not Operational,GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2100 / TD-LTE 2500," Former Escotel, IDEA",India,in
404,13,Vi India,Andhra Pradesh and Telangana,Not Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former Vodafone India,India,in
404,14,Vi India,Punjab,Operational,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500," Former Spice, IDEA",India,in
404,15,Vi India,Uttar Pradesh (East),Operational,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former Vodafone India,India,in
404,16,Airtel,North East,Operational,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,Former Hexacom,India,in
404,17,AIRCEL,West Bengal,Not operational,GSM 900 / GSM 1800,Bankrupt in 2018,India,in
404,18,Reliance,Himachal Pradesh,Operational,LTE,Data-only as of 2020,India,in
404,19,Vi India,Kerala,Not Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE-2300 / TD-LTE 2500," Former Escotel, IDEA",India,in
404,20,Vi India,Mumbai,Operational,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500," Former Hutchison Maxtouch, Orange, Hutch, Vodafone India",India,in
404,21,Loop Mobile,Mumbai,Not operational,GSM 900,Former BPL Mobile; licence expired 2014,India,in
404,22,Vi India,Maharashtra & Goa,Operational,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300 / TD-LTE 2500, Former IDEA,India,in
404,23,Reliance,West Bengal,Not Operational,LTE,Reliance Telecom,India,in
404,24,Vi India,Gujarat,Not Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former IDEA,India,in
404,25,AIRCEL,Bihar,Not operational,GSM 900 / GSM 1800,Bankrupt in 2018,India,in
404,27,Vi India,Maharashtra & Goa,Not Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300 / TD-LTE 2500, Former Vodafone India,India,in
404,28,AIRCEL,Odisha,Not operational,GSM 900,Bankrupt in 2018,India,in
404,29,AIRCEL,Assam,Not operational,GSM 900,Bankrupt in 2018,India,in
404,30,Vi India,Kolkata,Operational,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500," Former Vodafone India, Command, Hutch",India,in
404,31,AirTel,Kolkata,Operational,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / TD-LTE 2300,,India,in
404,34,BSNL Mobile,Haryana,Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,35,Aircel,Himachal Pradesh,Not operational,GSM 900 / GSM 1800, Bankrupt in 2018,India,in
404,36,Reliance,Bihar & Jharkhand,Operational,LTE,Data-only as of 2020,India,in
404,37,Aircel,Jammu & Kashmir,Not operational,GSM 900 / UMTS 2100,Bankrupt in 2018,India,in
404,38,BSNL Mobile,Assam,Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,40,AirTel,Chennai,Operational,GSM 1800 / LTE 1800 / LTE 2100 / TD-LTE 2300,,India,in
404,41,Aircel,Chennai,Not operational,GSM 900,Former RPG; bankrupt in 2018,India,in
404,42,Aircel,Tamil Nadu,Not operational,GSM 900,Bankrupt in 2018,India,in
404,43,Vi India,Tamil Nadu,Operational,GSM 900 / UMTS 2100 / LTE 1800 / LTE 2100, Former Vodafone India,India,in
404,44,Vi India,Karnataka,Not Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100," Former Spice, IDEA",India,in
404,45,Airtel,Karnataka,Operational,GSM 900 / GSM 1800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,,India,in
404,46,Vi India,Kerala,Operational,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE-2300 / TD-LTE 2500, Former Vodafone India,India,in
404,48,Dishnet Wireless,Unknown,Not operational,GSM 900,,India,in
404,49,Airtel,Andhra Pradesh and Telangana,Operational,GSM 900 / GSM 1800 / LTE 850 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300,,India,in
404,50,Reliance,North East,Operational,LTE,Data-only as of 2020,India,in
404,51,BSNL Mobile,Himachal Pradesh,Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,52,Reliance,Odisha,Operational,LTE,Data-only as of 2020,India,in
404,53,BSNL Mobile,Punjab,Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,54,BSNL Mobile,Uttar Pradesh (West),Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,55,BSNL Mobile,Uttar Pradesh (East),Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,56,Vi India,Uttar Pradesh (West),Operational,GSM 900 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2500, Former IDEA,India,in
404,57,BSNL Mobile,Gujarat,Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,58,BSNL Mobile,Madhya Pradesh & Chhattisgarh,Operational,GSM 900 / UMTS 2100 / LTE 2100, Former CellOne,India,in
404,59,BSNL Mobile,Rajasthan,Operational,CDMA 850 / GSM 900 / UMTS 2100, Former CellOne,India,in
